ticker,name,compositeTicker
YGE,Yingli Green Energy Holding Co. Ltd.,NYE.ID
STP,Suntech Power Holdings Co. Ltd.,NYE.ID
PQ,PetroQuest Energy Inc.,NYE.ID
BPZ,BPZ Resources Inc.,NYE.ID
STRI,STR Holdings Inc.,NYE.ID
DVR,Cal Dive International Inc.,NYE.ID
VQ,Venoco Inc.,NYE.ID
CPE,Callon Petroleum Co.,NYE.ID
TNK,Teekay Tankers Ltd.,NYE.ID
CJES,C&J Energy Services Inc.,NYE.ID
GGS,Global Geophysical Services Inc.,NYE.ID
PHX,Panhandle Oil & Gas Inc.,NYE.ID
HNR,Harvest Natural Resources Inc.,NYE.ID
REX,Rex American Resources Corp.,NYE.ID
SN,Sanchez Energy Corp.,NYE.ID
WG,Willbros Group Inc.,NYE.ID
PVA,Penn Virginia Corp.,NYE.ID
DK,Delek US Holdings Inc.,NYE.ID
TGS,Transportadora de Gas del Sur S.A.,NYE.ID
BCEI,Bonanza Creek Energy Inc.,NYE.ID
SOL,ReneSola Ltd.,NYE.ID
NGS,Natural Gas Services Group Inc.,NYE.ID
HDY,Hyperdynamics Corp.,NYE.ID
MY,China Ming Yang Wind Power Group Ltd.,NYE.ID
MTDR,Matador Resources Co.,NYE.ID
MILL,Miller Energy Resources Inc.,NYE.ID
EQU,Equal Energy Ltd.,NYE.ID
GMXR,GMX Resources Inc.,NYE.ID
ALJ,Alon USA Energy Inc.,NYE.ID
JKS,JinkoSolar Holding Co. Ltd.,NYE.ID
PACD,Pacific Drilling S.A.,NYE.ID
GU,Gushan Environmental Energy Ltd.,NYE.ID
WH,WSP Holdings Ltd.,NYE.ID
