AJG,Arthur J. Gallagher & Co.,NYFIN
REG,Regency Centers Corp.,NYFIN
FNF,Fidelity National Financial Inc.,NYFIN
RNR,RenaissanceRe Holdings Ltd.,NYFIN
TRH,TransAtlantic Holdings Inc.,NYFIN
BRE,BRE Properties Inc.,NYFIN
LM,Legg Mason Inc.,NYFIN
WF,Woori Finance Holdings Co. Ltd.,NYFIN
RJF,Raymond James Financial Inc.,NYFIN
SNH,Senior Housing Properties Trust,NYFIN
JLL,Jones Lang LaSalle Inc.,NYFIN
DRE,Duke Realty Corp.,NYFIN
LAZ,Lazard Ltd.,NYFIN
EV,Eaton Vance Corp.,NYFIN
HCC,HCC Insurance Holdings Inc.,NYFIN
AFG,American Financial Group Inc.,NYFIN
CFR,Cullen/Frost Bankers Inc.,NYFIN
SAN,Banco Santander-Chile,NYFIN
DDR,DDR Corp.,NYFIN
NBG,National Bank of Greece S.A.,NYFIN
CIM,Chimera Investment Corp.,NYFIN
HPT,Hospitality Properties Trust,NYFIN
WTM,White Mountains Insurance Group Ltd.,NYFIN
PDM,Piedmont Office Realty Trust Inc. Cl A,NYFIN
AIV,Apartment Investment & Management Co.,NYFIN
WRI,Weingarten Realty Investors,NYFIN
AGO,Assured Guaranty Ltd.,NYFIN
KRC,Kilroy Realty Corp.,NYFIN
BMR,BioMed Realty Trust Inc.,NYFIN
ACC,American Campus Communities Inc.,NYFIN
HME,Home Properties Inc.,NYFIN
BRO,Brown & Brown Inc.,NYFIN
IRE,Governor & Co. of the Bank of Ireland,NYFIN
WDR,Waddell & Reed Financial Inc.,NYFIN
DEI,Douglas Emmett Inc.,NYFIN
ELS,Equity Lifestyle Properties Inc.,NYFIN
MFA,MFA Financial Inc.,NYFIN
PRA,ProAssurance Corp.,NYFIN
ORI,Old Republic International Corp.,NYFIN
AWH,Allied World Assurance Co. Holdings Ltd.,NYFIN
Y,Alleghany Corp.,NYFIN
NNN,National Retail Properties Inc.,NYFIN
EXR,Extra Space Storage Inc.,NYFIN
SKT,Tanger Factory Outlet Centers Inc.,NYFIN
CBL,CBL & Associates Properties Inc.,NYFIN
FRC,First Republic Bank,NYFIN
CLI,Mack-Cali Realty Corp.,NYFIN
FHN,First Horizon National Corp.,NYFIN
PL,Protective Life Corp.,NYFIN
MAA,Mid-America Apartment Communities Inc.,NYFIN
HIW,Highwoods Properties Inc.,NYFIN
VLY,Valley National Bancorp,NYFIN
CYN,City National Corp.,NYFIN
LHO,LaSalle Hotel Properties,NYFIN
JEF,Jefferies Group Inc.,NYFIN
PPS,Post Properties Inc.,NYFIN
BOH,Bank of Hawaii Corp.,NYFIN
DFG,Delphi Financial Group Inc. Cl A,NYFIN
VR,Validus Holdings Ltd.,NYFIN
OHI,Omega Healthcare Investors Inc.,NYFIN
HTS,Hatteras Financial Corp.,NYFIN
EPR,Entertainment Properties Trust,NYFIN
FII,Federated Investors Inc.,NYFIN
SF,Stifel Financial Corp.,NYFIN
WRE,Washington Real Estate Investment Trust,NYFIN
FCE/A,Forest City Enterprises Inc. Cl A,NYFIN
IVR,Invesco Mortgage Capital Inc.,NYFIN
AHL,Aspen Insurance Holdings Ltd.,NYFIN
