Date,Open,High,Low,Close,Volume,Adj Close
2009-03-05,46.98,47.11,45.39,45.97,11778600,40.68
2009-03-04,48.75,48.94,47.00,47.60,10631500,42.12
2009-03-03,47.75,49.05,47.28,48.47,14962400,42.52
2009-03-02,47.31,47.94,46.76,46.85,8637300,41.09
2009-02-27,49.15,49.63,48.14,48.14,9237600,42.23
2009-02-26,51.13,51.36,49.33,49.42,7448800,43.35
2009-02-25,51.52,51.85,50.52,50.72,7180000,44.49
2009-02-24,50.88,51.83,50.11,51.68,8221100,45.33
2009-02-23,51.46,51.85,50.03,50.16,6899600,44.00
2009-02-20,51.53,52.05,50.97,51.45,9897500,45.13
2009-02-19,51.27,52.55,51.00,52.20,6862800,45.79
2009-02-18,52.27,52.27,51.13,51.53,6145400,45.20
2009-02-17,51.45,52.11,50.50,51.82,12454400,45.45
2009-02-13,52.07,53.46,51.08,52.57,11981300,46.11
2009-02-12,50.51,52.17,50.00,52.00,10423700,45.61
2009-02-11,50.14,50.92,49.58,50.61,5917500,44.39
2009-02-10,50.92,51.43,49.22,49.53,10779800,43.45
2009-02-09,53.26,53.26,50.78,51.43,9006100,45.11
2009-02-06,52.28,53.64,52.15,53.53,6908800,46.95
2009-02-05,50.86,52.67,50.59,52.35,9224600,45.92
2009-02-04,51.54,52.22,51.00,51.49,6898600,45.17
2009-02-03,50.52,51.74,49.77,51.52,5319100,45.19
2009-02-02,49.76,50.40,49.04,50.13,5659900,43.97
2009-01-30,51.50,51.88,49.98,50.23,7582400,44.06
2009-01-29,51.85,52.40,51.42,51.68,5372400,45.33
2009-01-28,51.85,52.25,51.36,52.04,5803800,45.65
2009-01-27,51.56,52.28,51.39,51.64,6763800,45.30
2009-01-26,50.79,51.60,50.00,51.42,7619600,45.10
2009-01-23,49.40,50.73,49.10,50.62,7818700,44.40
2009-01-22,49.82,50.56,49.24,50.35,8916100,44.17
2009-01-21,51.05,51.05,49.62,50.44,8982200,44.24
2009-01-20,51.58,52.09,50.33,50.43,8057700,44.24
2009-01-16,50.81,51.69,50.76,51.37,8964200,45.06
2009-01-15,51.05,51.10,43.78,50.53,8860900,44.32
2009-01-14,51.90,51.92,50.33,51.10,8619000,44.82
2009-01-13,51.39,52.46,51.20,52.23,9295800,45.81
2009-01-12,52.66,52.66,51.07,51.39,9240700,45.08
2009-01-09,53.47,53.80,52.40,52.57,6910700,46.11
2009-01-08,53.80,54.07,52.80,53.25,8210400,46.71
2009-01-07,55.34,55.34,53.68,53.89,7364600,47.27
